,Rk,Date,H or A,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
72,70,2022-03-16,A,GSW,W (+22),1,34:51,9,21,.429,2,8,.250,6,7,.857,2,5,7,3,0,0,2,1,26,17.1,+26
73,71,2022-03-18,A,SAC,W (+29),1,28:09,11,18,.611,3,5,.600,5,8,.625,1,2,3,0,2,0,2,2,30,21.1,-5
74,72,2022-03-20,A,DEN,W (+20),1,34:11,12,19,.632,3,6,.500,3,3,1.000,0,6,6,0,1,0,1,2,30,22.5,+27
75,73,2022-03-21,A,OKC,W (+9),1,38:33,10,19,.526,2,5,.400,3,6,.500,0,3,3,1,2,0,2,2,25,15.3,+1
76,74,2022-03-23,H,UTA,W (+28),1,32:00,10,17,.588,3,6,.500,3,4,.750,1,2,3,5,0,0,2,3,26,19.3,+20
77,75,2022-03-27,H,MIN,W (+22),1,34:40,12,20,.600,3,5,.600,4,4,1.000,1,9,10,2,0,0,1,0,31,25.6,+6
79,77,2022-03-30,H,MIA,L (-8),1,37:12,9,22,.409,5,9,.556,5,6,.833,1,9,10,6,0,0,3,3,28,19.2,-11
80,78,2022-04-01,H,IND,W (+5),1,35:05,12,18,.667,2,5,.400,6,6,1.000,1,2,3,7,2,0,5,5,32,25.4,+6
81,79,2022-04-03,H,WAS,W (+42),1,28:34,12,17,.706,4,5,.800,4,4,1.000,0,7,7,5,2,0,0,1,32,32.1,+36
82,80,2022-04-06,A,CHI,W (+23),1,34:40,10,21,.476,2,4,.500,3,6,.500,1,6,7,4,4,1,1,2,25,21.3,+22
84,81,2022-04-07,A,MIL,L (-6),1,37:28,8,20,.400,2,8,.250,4,7,.571,1,9,10,11,1,1,4,5,22,16.8,+3
85,82,2022-04-10,A,MEM,W (+29),1,23:03,8,16,.500,2,7,.286,0,0,,0,3,3,4,0,0,3,4,18,9.1,+11
